"ID","Text","Retweets","Likes","Dato","Link","Formatteret_Date","Hashtags"
"1257873257732214784","Thank you @Honeywell!","17488","78744","2020-05-06 03:22:09+00:00","https://twitter.com/realDonaldTrump/status/1257873257732214784","Wed May 06 3:22:09 AM +0000 2020",""

"1257822958522753024","","25289","85608","2020-05-06 00:02:17+00:00","https://twitter.com/realDonaldTrump/status/1257822958522753024","Wed May 06 12:02:17 AM +0000 2020",""

"1257793742540386304","I was thrilled to be back in the Great State of Arizona with the incredible, patriotic, and hardworking men and women of @Honeywell!","12048","52167","2020-05-05 22:06:11+00:00","https://twitter.com/realDonaldTrump/status/1257793742540386304","Tue May 05 10:06:11 PM +0000 2020",""

"1257768408256409601","Will be doing a major interview tonight at 6:30 P.M. Eastern with @DavidMuir on @ABCWorldNews Tonight.","13447","62750","2020-05-05 20:25:31+00:00","https://twitter.com/realDonaldTrump/status/1257768408256409601","Tue May 05 8:25:31 PM +0000 2020",""

"1257753237790158848","On #NationalTeacherDay, we recognize the countless men and women who dedicate their lives to instilling character, integrity, and knowledge in the hearts and minds of our Nation’s students, thank you!","10254","44462","2020-05-05 19:25:14+00:00","https://twitter.com/realDonaldTrump/status/1257753237790158848","Tue May 05 7:25:14 PM +0000 2020","#NationalTeacherDay"

"1257744763832299520","Getting ready to land in the Great State of Arizona!","12905","106682","2020-05-05 18:51:34+00:00","https://twitter.com/realDonaldTrump/status/1257744763832299520","Tue May 05 6:51:34 PM +0000 2020",""

"1257744456591130624","Wow! Congratulations to Greg Gutfeld, a one time Trump Hater who has come all the way home. His Ratings easily beat no talent Stephen Colbert, nice guy Jimmy Fallon, and wacko “last placer” Jimmy Kimmel. Greg built his show from scratch, and did a great job in doing so. @FoxNews","31146","146253","2020-05-05 18:50:20+00:00","https://twitter.com/realDonaldTrump/status/1257744456591130624","Tue May 05 6:50:20 PM +0000 2020",""

"1257741326650470400","Well run States should not be bailing out poorly run States, using CoronaVirus as the excuse! The elimination of Sanctuary Cities, Payroll Taxes, and perhaps Capital Gains Taxes, must be put on the table. Also lawsuit indemnification & business deductions for restaurants & ent.","32026","122149","2020-05-05 18:37:54+00:00","https://twitter.com/realDonaldTrump/status/1257741326650470400","Tue May 05 6:37:54 PM +0000 2020",""

